발행처,빈도
부산가톨릭대학교 일반대학원 간호학과,1
한세대학교 일반대학원 사회복지행정학과,1
극동대학교 교육대학원,1
호남신학대학교 일반대학원,1
과학기술연합대학원대학교 시스템생명공학,1
상지대학교 상지대학교 일반대학원,1
학성대학교 예술대학원,1
대진대학교대학원,1
계명대학교 일반대학관,1
국립공주대학교일반대학원,1
동서대학교 일반대학윈,1
초당대학교 경영대학원,1
웨스트민스터신학대학원대학교(WESTMINSTER GRADUATE SCHOOL OF THEOLOGY),1
과학기술연합대학원대학교. KRIBB 스쿨,1
상지대학교 교육대학원,1
한경대학교 국제개발협력대학원,1
고신대학교 기독교상담대학원,1
상지대학교 평화안보·상담심리대학원,1
배재대학교대학원,1
강릉원주대 일반대학원,1
광주대학교. 대학원,1
계명대학교 경영대학원,1
한국과학기술대학원대학교,1
용인대학교 스포츠웰니스산업대학원,1
상지대학교 상지대학원,1
감리교신학대학교 목회신학대학원,1
제주국제대학교 대학원,1
울산대학교 일반대학원 조선 및 해양공학과,1
경성대학교 일반대학원 컴퓨터공학과,1
경영대학원 일반대학원,1
부산가톨릭대학교 생명과학대학원,1
선문대학교 교육대학원,1
"Hyupsung University, The Graduate School of Theology",1
과학기술연합대학원대학교 한국기계연구원 스쿨,1
한세대학교 음악대학원,1
"호남대학교, 일반대학원",1
호남대학교 대학원 호남대학교 일반대학원,1
초당대학원 산업대학원,1
弘益大學校 大學院,1
신한대학교 일번대학원,1
한국과학기술연합대학원,1
한국호남대학교 대학원,1
영남대학교 경영행정대학원,1
한국산업기술대학교 산업기술.경영대학원,1
과학기술연합대학원대학교 (University of Science and Technology),1
한국사이버대학교 휴먼사이버대학원,1
울산대학교 일반대학,1
동서대학교 대학원,1
경운대학교 사회복지대학원,1
광주대학교 보건상담정책 대학원,1
한밭대학교 창업대학원,1
신한대학교，신한대학교 대학원,1
초당대학교 국제문화경영대학원,1
배재대학교 관광축제한류대학원,1
부산 가톨릭대학교 경영학대학과,1
웨스트민스터신학대학원 대학교,1
한국과학기술연합대학원대학교 KRIBB school,1
호서대학교 스포츠과학대학원,1
한국산업기술대학교 나노반도체공학과,1
세종대하교 일반대학원,1
University of Science and Technology UST,1
Graduate school of Soonchunhyang University,1
Korea Institute of Oriental Medicine (KIOM),1
"Graduate school, Hallym University",1
"University of Science and Technology, Daejeon, South Korea",1
Julius Maximilian University of Würzburg,1
순천향대학교  순천향의생명연구원,1
The Graduate School of Hanseo University,1
"Keimyung University, Department of GMBA",1
Sahmyook University Graduate School,1
"Graduate school of Tourism, Youngsan University",1
한국 방송 통신 대학교 대학원,1
Hanbat National University Graduate School,1
Hanseo University Graduate School,1
과학기술연합대학원대학교 공학대학원,1
"University of Science and Technology, KRISS School",1
"Graduate School of Chungnam National UNiversity, Graduate School of Nursing, Chungnam National University",1
The Graduate School of Sunchon National University,1
University of Science and Technology; Korea Atomic Energy Research Institute,1
순천향대학교 의생명연구원,1
"University of Science and Technology ,Republic of Korea",1
Kongju National University,1
Graduate School of Kumoh National Institute of Technology,1
UST 한국천문연구원,1
대전대학교 한의학과 대학원,1
한국과학기술대학원대학교대학원,1
한남대학교 일반대학원,1
"세종대하교, 대학원",1
호서대학교 호서대학원,1
"University of Science and Technology, Institute for Basic Science",1
Hallym University,1
부산가톨릭대학교 치기공학과,1
차의과학대학 일반대학원,1
국립 한밭대학교 산업대학원,1
한서대학교  일반대학원,1
국립공주대학교 일반대학원 게임디자인학과,1
영남대학교 문화예술디자인,1
경일대학교 행정대학원,1
신라대학교 공공안전정책대학원,1
초당대학교 사회복지상담학과,1
"GS TESOL, Hankuk University of Foreign Studies",1
장로회신학대하교 목전박사대학원,1
과학기술대학원대학교 KRIBB스쿨,1
과학기술연합대학원대학교-한국생명공학연구원 (UST-KRIBB school),1
대구가톨릭대학교 예술대학원,1
계명대학교,1
"University of Science and Technology, Korea Electrotechnology Research Institute",1
Graduate School of Soonchunhyang University,1
용인대학교 문화재대학원,1
中央大学校 大学院,1
동신대학교 한의학대학원,1
공주대학 대학원,1
공주대대학원 동양학과,1
순천대학교 일반대학원,1
단국 대학교 대학원,1
"Daejeon University, Department of Construction Safety &amp; Disaster Prevention",1
부산가톨릭대학교 언어청각치료학과,1
"University of Science and Technology, Advanced Materials and Chemical Engineering",1
University of Science and Technology (UST) (과학 기술 연합 대학원대학교),1
계명대학교 일반 대학원,1
울산대학교 의학과,1
호남대학교 사회융학대학과,1
