발행처,빈도
한국과학기술연구원,13
인하대학교 상담심리대학원,13
경성대학교 교육대학원,13
한경대학교 산업대학원,12
신라대학교 산업융합대학원,12
총신대학교 목회신학전문대학원,12
성산효대학원대학교,12
경희사이버대학교 문화창조대학원,12
강남대학교 교육대학원,12
감리교신학대학교 대학원,12
경남대학교 교육대학원,11
신한대학교 지식복지대학원,11
서울신학대학교 일반대학원,11
고신대학교 교회음악대학원,11
영산대학교 관광대학원,11
배재대학교 교육대학원,11
한국학중앙연구원 한국학대학원,11
인하대학교 제조혁신전문대학원,11
계명대학원 대학원,11
남부대학교 교육대학원,11
중원대학교 일반대학원,11
한동대학교 교육대학원,10
청주대학교 보건의료대학원,10
영남신학대학교 대학원,10
남부대학교 대학원,10
강원대학교 산업대학원,10
한서대학교 교육대학원,10
조선대학교 보건대학원,10
송원대학교 휴먼산업대학원,10
서울상담심리대학원대학교,10
추계예술대학교 문화예술경영대학원,10
상지대학교 대학원,10
능인대학원대학교,10
대구한의대학교 보건복지대학원,9
서울한영대학교 대학원,9
대전가톨릭대학교 대학원,9
극동대학교 일반대학원,9
한남대학교 교육대학원,9
춘천교육대학교 교육대학원,9
Graduate School of Creative Design Engineering,9
용인대학교 교육대학원,9
경주대학교 대학원,9
한일장신대학교 일반대학원,8
서울신학대학교 신학전문대학원,8
횃불트리니티신학대학원대학교,8
고려사이버대학교 융합정보대학원,8
협성대학교 신학대학원,8
순천향대학교,8
한신대학교 대학원,8
감리교신학대학교 신학대학원,8
극동대학교 글로벌대학원,8
덕성여자대학교 교육대학원,8
목포대학교 경영행정대학원,8
영산대학교 미용예술대학원,8
경찰대학교 치안대학원,8
초당대학교 일반대학원,8
계명대학교 교육대학원,8
University of Science and Technology (UST),7
상지대학교 사회융합대학원,7
금오공과대학교 일반대학원,7
고신대학교 대학원,7
순천향대학교 교육대학원,7
예명대학원대학교,7
한국침례신학대학교 일반대학원,7
한국산업기술대학교 지식기반기술·에너지대학원,7
한림대학교 글로벌협력대학원,7
한서대학교 항공정보산업대학원,7
경일대학교  대학원,7
한서대학교 대학원,7
한림대학교 보건과학대학원,7
한국성서대학교 일반대학원,7
신라대학교 일반대학원신라대학교,7
UNIVERSITY OF SCIENCE AND TECHNOLOGY,7
광주대학교 보건상담정책대학원,7
중원대학교 대학원,6
대구한의대학교 대학원,6
선학UP대학원대학교,6
신라대학교 상담치료대학원,6
강원대학교 방재전문대학원,6
합동신학대학원대학교,6
을지대학교 임상간호대학원,6
용인대학교 문화예술대학원,6
우석대학교  일반대학원,6
목원대학교 산업정보언론대학원,6
강원대학교 산업과학대학원,6
경남대학교 산업경영대학원,6
부산외국어대학교 통역번역대학원,6
수원가톨릭대학교 대학원,6
나사렛대학교 교육대학원,5
계명대학교 글로벌창업대학원,5
광주교육대학교 대학원,5
전주교육대학교 교육대학원,5
안동대학교 한국문화산업전문대학원,5
우송대학교 철도융합대학원,5
영남대학교 공학대학원,5
치유상담대학원대학교,5
목원대학교 신학대학원,5
우송대학교 철도대학원,5
UST,5
조선대학교 정책대학원,5
주안대학원대학교,5
강원대학교 의학전문대학원,5
延世大學校 大學院,5
서울사이버대학교 상담심리대학원,5
又石大學校 一般大學院,5
대구사이버대학교 휴먼케어대학원,5
Graduate school of Sungkonghoe University,5
우송대학교 글로벌외식조리대학원,5
극동대학교 대학원,5
영산대학교 미용·예술대학원,5
초당대학교 산업대학원,5
徳成女子大學校 大學院,5
조선대학교 디자인대학원,5
성결대학교 교육대학원,5
전주대학교 상담심리대학원,5
동아대학교 사회복지대학원,5
서울장신대학교 대학원,4
강원대학교,4
배재대학교  대학원,4
순천대학교 산업대학원,4
조선대학교 경영대학원,4
우송대학교 보건복지대학원,4
대구가톨릭대학교 사회복지대학원,4
목포대학교 산업기술대학원,4
총신대학교 교육대학원,4
초당대학교 대학원,4
동아대학교 일반대학원,4
감리교신학대학교,4
한세대학교 심리상담대학원,4
한밭대학교 창업경영대학원,4
한남대학교 경영·국방전략대학원,4
한국침례신학대학교 목회신학대학원,4
금강대학교 대학원,4
덕성여자대학교 문화∙산업대학원,4
중부대학교 휴먼텍대학원,4
위덕대학교 교육대학원,4
"호남대학교 대학원, 호남대학교 일반대학원",4
조선대학교 산업기술창업대학원,4
경운대학교 일반대학원,4
신한대학교,4
차의과대학교 일반대학원,4
한국방송통신대학교 경영대학원,4
청주대학교 융합신기술대학원,4
용인대학교 재활복지대학원,4
서울성경신학대학원대학교,4
청주대학교 사회복지·공공정책대학원,4
호서대학교 산학융합대학원,4
아신대학교 대학원,4
서울여자대학교 특수치료전문대학원,4
경남대학교 행정대학원,4
중부대학교 일반대학원,4
항공대학교 일반대학원,4
경북대학원 대학원,4
호남신학대학교 상담대학원,4
서울한영대학교 일반대학원,4
한서대학교 건강증진대학원,4
신라대학교 사회복지대학원,4
부산외국어대학교 중국어중국학부,3
우석대학교 경영문화대학원,3
東義大學敎 大學院,3
又石大學校  一般大學院,3
대전대학교 한의과대학원,3
호서대학교 기술경영대학원,3
예명대학원 대학교,3
과학기술연합대학교대학원,3
한세 대학교 대학원,3
영산대학교 법무경영대학원,3
한경대학교 미래융합기술대학원,3
가천의과학대학교 대학원,3
성결대학교 프라임대학원,3
웨스트민스터 신학대학원대학교,3
호서대학교  일반대학원,3
우송대학교 Culture-Technology융합대학원,3
Soonchunhyang University Graduate School,3
경희사이버대학교 호텔관광대학원,3
한서대학교 국제디자인융합전문대학원,3
호남대학교 경영대학원,3
선문대학교 신학전문대학원,3
루터대학교 대학원,3
호남대학교 교육대학원,3
국립한밭대학교 일반대학원,3
한동대학교 국제개발협력대학원,3
서울벤처대학원 대학교,3
The Graduate School of Korean Studies,3
弘益大學敎 大學院,3
상지대학교 평화안보상담심리대학원,3
과학기술연합대학원대학교 대학원,3
배재대학교 관광축제호텔대학원,3
순천향대학교 법과학대학원,3
웨스트민스터신학대학원,3
선문대학교 글로컬통합대학원,3
우송대학교,3
안동대학교 교육대학원,3
고신대학교 교육대학원,3
목포대학교 일반대학원,3
중원대학교 사회문화대학원,3
예수대학교 대학원,3
목포대학교 교육대학원,3
한국산업기술대학교 대학원,2
한세대학교 일반대학원 음악과,2
경희사이버대학교 문화창조대학원 글로벌한국학 전공,2
대학원,2
남부대학교 문화복지대학원,2
세종대하교 대학원,2
