국가서지번호,출처기관제어번호,자료유형,표제와 책임표시사항,제목,부제목,저자,발행처,발행지역,발행지코드,내용유형,크기,가격,본문언어,분야
NBC202232613,T16585014,시청각자료,건틀릿 [비디오녹화자료] / Matt Eskandari 감독,건틀릿,No data,Eskandari Matt;백령;Kole Warren;Nguyen Dustin,미디어포유 [제작] 콘텐츠패밀리 [제공] 미디어줌 [판매],서울,ulk,moving image,12 cm,25300.0,eng,"오락,스포츠"
NBC202232614,KMU202204385,시청각자료,걷고싶다 [녹음자료] / 연우주,걷고싶다,No data,연우주(KAC2021S8216),오감엔터테인먼트 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232614,KMU202205294,시청각자료,걷기 좋은 날에 [녹음자료] / 수아,걷기 좋은 날에,No data,수아(KAC2022E5374),보자기레이블앤미디어 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232614,KMU202200799,시청각자료,걸생전 [녹음자료] : 바람과 파도의 기록 : 국립남도국악원 남도예술여행 브랜드 작품 / 제작: 국립남도국악원,걸생전,바람과 파도의 기록 :국립남도국악원 남도예술여행 브랜드 작품,국립국악원.국립남도국악원(KAB201800427),국립남도국악원 ;Sound Press [배포],[진도],jnk,performed music,12 cm,No data,kor,음악
NBC202232614,KMU202204633,시청각자료,검문할게요 [녹음자료] / 승국이,검문할게요,No data,승국이(KAC2022D6607),카카오엔터테인먼트 [배포],[성남],ggk,performed music,12 cm,No data,kor,음악
NBC202232614,KVM202201103,시청각자료,검은 사제들 [비디오녹화자료] : 지옥의 문 / a Don E. Fauntleroy film,검은 사제들,지옥의 문,FauntLeRoy Don(KAC2020N6937);Down Lesley-Anne(KAC2020L6937);Kanik Chris;Shelly Randy;Bell Tobin(KAC2020L1220);Savage John(KAC2020L4768),Kt Alpha [제공] 비디오여행 [제작/판매],[서울],ulk,moving image,12 cm,25300.0,eng,"공연예술,매체예술"
NBC202232614,KVM202201690,시청각자료,겟썸 4 [비디오녹화자료] / directed by Kellie Madison,겟썸 4,No data,Madison Kellie(KAC201810140);Baumgarten Craig;Jacques Ben;Zelon David(KAC2020N2618);Arkins Audrey;Popica Olivia;Bastow Tommy,소니 픽쳐스 홈엔터테인먼트 [공급] 마루컨텐츠 [판매],[서울],ulk,moving image,12 cm,19800.0,eng,"공연예술,매체예술"
NBC202232614,KMU202202454,시청각자료,"겨울, 그리고 봄 [녹음자료] = Winter and spring / 아림","겨울, 그리고 봄",No data,아림(KAC202263943),RIAK [배포],[서울],ulk,performed music,12 cm,No data,zxx,음악
NBC202232614,KMU202204880,시청각자료,겨울나무의 꿈 [녹음자료] / 강명옥,겨울나무의 꿈,No data,강명옥(KAC2022E3843),RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232614,KMU202201785,시청각자료,겨울동요 메들리 [녹음자료] / 초록별 중창단,겨울동요 메들리,No data,초록별 중창단,RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232614,T16193353,시청각자료,"겨울왕국의 무민 [비디오녹화자료] = Moomins and the Winter Wonderland / ra Carpelan, Jakub Wronski 감독",겨울왕국의 무민,No data,Carpelan Ira ;Wronski Jakub ;Skarsgard Bill ;Vikander Alicia,미디어줌,서울,ulk,moving image,12 cm,No data,eng,"공연예술,매체예술"
NBC202232615,T16585015,시청각자료,겨울전쟁 [비디오녹화자료] : 105일간의 전투 / Pekka Parikka 감독,겨울전쟁,105일간의 전투,Parikka Pekka;Edelmann Samuli;Torikka Timo;Kovero Esko;Mäkelä Taneli;Tuuri Antti,이든그루 [제작·판매] 찬란 [제공],서울,ulk,moving image,12 cm,25300.0,fin,"오락,스포츠"
NBC202232615,KMU202205511,시청각자료,결 [녹음자료] : attitude : #1 / 공기남,결,attitude :#1,곽태훈(KAC2018L3370);Mabinc,워너뮤직코리아 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232615,T16369682,시청각자료,결투 [비디오녹화자료] : 듀얼 / Steven Spielberg 감독,결투,듀얼,Spielberg Steven;Weaver Dennis;Scott Jacqueline,유니버설픽쳐스 [제작] 해리슨앤컴퍼니 [제공],서울,ulk,moving image,4 3/4 in,31900.0,eng,"오락,스포츠"
NBC202232615,KMU202204416,시청각자료,"결혼 [녹음자료] = Wedding / 제임스 킹 ; feat. 리비에, 진현",결혼,No data,제임스 킹(KAC2018L9392);달콤(KAC2018G4260);진현(KAC2018H1082),뮤직앤뉴 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232615,T16362988,시청각자료,결혼 후에 남겨진 것들 [비디오녹화자료] / Stefan Schwartz 감독,결혼 후에 남겨진 것들,No data,Schwartz Stefan;McCall Ross;Miller Allison,미디어포유 [제작] 안다미로 [제공],서울,ulk,moving image,4 3/4 in,25300.0,eng,"오락,스포츠"
NBC202232615,T16577044,시청각자료,결혼사진 [비디오녹화자료] / 신진우 감독,결혼사진,No data,신진우,[발행처불명],서울,ulk,moving image,No data,No data,kor,"공연예술,매체예술"
NBC202232615,T16159818,시청각자료,경계선 [비디오녹화자료] / Ali Abbasi 감독,경계선,No data,Abbasi Ali;Melander Eva;Milonoff Eero;Ajvide Lindqvist John,노바미디어 [제작] 조이앤시네마 [제공] 에이스미디어 [판매],서울,ulk,moving image,12 cm,25300.0,swe,"오락,스포츠"
NBC202232615,KVM202300453,시청각자료,경관의 피[비디오녹화자료] . 1 / 감독: 이규만,경관의 피,No data,이규만(KAC201216895);이한승(KAC201814173);김민경(KAC2021S8296);배영익(KAC201316038);조진웅(KAC201821509);최우식(KAC201816407);박희순(KAC201841197),에스엠라이프디자인그룹 [제작] ;에이스메이커무비웍스 [공급],[파주],ggk,moving image,12 cm,11000.0,kor,"공연예술,매체예술"
NBC202232615,KVM202300453,시청각자료,"경관의 피[비디오녹화자료] . 2, Special features / 감독: 이규만",경관의 피,No data,이규만(KAC201216895);이한승(KAC201814173);김민경(KAC2021S8296);배영익(KAC201316038);조진웅(KAC201821509);최우식(KAC201816407);박희순(KAC201841197),에스엠라이프디자인그룹 [제작] ;에이스메이커무비웍스 [공급],[파주],ggk,moving image,12 cm,11000.0,kor,"공연예술,매체예술"
NBC202232615,KMU202206125,시청각자료,경사났네 [녹음자료] / 백화연,경사났네,No data,백화연(KAC2018I4217),RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232616,KMU202202009,시청각자료,경쾌한 지루박 경음악과 함께 [녹음자료] / 박인범,경쾌한 지루박 경음악과 함께,No data,박인범(KAC2020J1131),RIAK [배포],[서울],ulk,performed music,12 cm,No data,zxx,음악
NBC202232616,KMU202205963,시청각자료,경포 & [녹음자료] / 윤스'가,경포 &,No data,윤스'가(KAC202301357),뮤즈플랫폼 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232616,T16291101,시청각자료,경호원 [비디오녹화자료] = Bodyguard / 손승현 감독,경호원,No data,손승현;강석철;유예빈;지혜인;김진우;최철호,비디오여행 [제작·판매] 이놀미디어 [제공],서울,ulk,moving image,12 cm,25300.0,kor,"공연예술,매체예술"
NBC202232616,KMU202202095,시청각자료,곁 [녹음자료] / 포유류,곁,No data,나폴레용(KAC202079369),미러볼뮤직 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232616,T16670886,시청각자료,계약서를 써야 작가가 되지 [녹음자료]: 정명섭 에세이/ 정명섭 원작,계약서를 써야 작가가 되지,정명섭 에세이,정명섭,오디언소리 [공급],서울,ulk,spoken word,No data,40000.0,kor,한국문학
NBC202232616,KMU202201744,시청각자료,계절은 돌고돌아 [녹음자료] : Special album / 이주호,계절은 돌고돌아,Special album,이주호(KAC201755324),NHN벅스 [배포],[성남],ggk,performed music,12 cm,No data,kor,음악
NBC202232616,KMU202201976,시청각자료,계절이 바뀔때면줌마 : [녹음자료] ; single album / 이반이,계절이 바뀔때면줌마,single album,이반이(KAC202242497),RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232616,T16151760,시청각자료,계획이 실패가 되지 않게 [녹음자료] : 반드시 결과를 내는 탁월한 실행의 기술 / 이소연 원작,계획이 실패가 되지 않게,반드시 결과를 내는 탁월한 실행의 기술,이소연,오디언소리,서울,ulk,spoken word,No data,No data,kor,경제학
NBC202232616,T16291102,시청각자료,고공침투 [비디오녹화자료] : 노리턴 / Kevin Glynn 감독,고공침투,노리턴,Glynn Kevin;Deegan Bernard;Coombes Jordan,노바미디어 [제작] 조이앤시네마 [제공] 에이스미디어 [판매],서울,ulk,moving image,12 cm,25300.0,eng,"오락,스포츠"
NBC202232616,T16631927,시청각자료,고공침투: 노 리턴 [비디오녹화자료] /  케빈 글린 감독,고공침투: 노 리턴,No data,Glynn Kevin;Deegan Bernard;Coombes Jordan;Dunning Nick,노바미디어,서울  ,ulk,moving image,12 cm,25300.0,eng,"오락,스포츠"
NBC202232617,KMU202202764,시청각자료,고군산 처녀 [녹음자료] / 강하니,고군산 처녀,No data,강하니(KAC202002559),RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232617,T16541691,시청각자료,고도일보 송가을인데요 [녹음자료]: 송경화 장편소설/ 송경화 원작,고도일보 송가을인데요,송경화 장편소설,송경화;김나율,오디언소리,서울,ulk,spoken word,No data,300000.0,kor,No data
NBC202232617,KMU202205535,시청각자료,고마운 당신 [녹음자료] / 윤정,고마운 당신,No data,윤정(KAC2022E5068),RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232617,KMU202206134,시청각자료,고마워 [녹음자료] / 천현석,고마워,No data,천현석(KAC201736843),뮤직앤뉴 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232617,KMU202205851,시청각자료,고맙소 당신 [녹음자료] / 박동화,고맙소 당신,No data,박동화(KAC202301021),RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232617,KMU202205701,시청각자료,고민 [녹음자료] / 이구이,고민,No data,이구이(KAB202300006),지니뮤직 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232617,KMU202202335,시청각자료,"고민은 만석공원에서, 자소서는 포모나에서 [녹음자료] / 언제나오월","고민은 만석공원에서, 자소서는 포모나에서",No data,언제나오월(KAB202214235),오감엔터테인먼트 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232617,KMU202300588,시청각자료,고백 [녹음자료] / 김석준 ; feat. 민경대,고백,No data,김석준(KAC201928006);민경대,포스트뮤직 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232617,KMU202202389,시청각자료,고백 [녹음자료] = Love confession / 3.14,고백,No data,3.14(KAB202300010),오감엔터테인먼트 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232617,KMU202205823,시청각자료,고속도로 [녹음자료] / 최정훈,고속도로,No data,최정훈(KAC2020S9231);박주희;이박;염성길;신동철;김기흥,오감엔터테인먼트 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232618,T16259481,시청각자료,고스트 스나이퍼 [비디오녹화자료] / Andreĭ Bogatyrev 감독,고스트 스나이퍼,No data,Bogatyrev Andreĭ;Shevchenkov Alekseĭ;Gosti︠u︡khin Vladimir,미디어포유 [제작] 박수엔터테인먼트 [제공] 미디어줌[ 판매],서울,ulk,moving image,12 cm,25300.0,eng,"오락,스포츠"
NBC202232618,T16623768,시청각자료,고스트 앤 다크니스 [비디오녹화자료]: 리마스터버전 / Stephen Hopkins [감독],고스트 앤 다크니스,리마스터버전,Hopkins Stephen;Douglas Michael;Kilmer Val;Kani John;Hill Bernard;Wilkinson Tom;Constellation Films,탑필름,서울,ulk,moving image,12 cm,25300.0,eng,"오락,스포츠"
NBC202232618,T16235719,시청각자료,고스트버스터즈 라이즈 [비디오녹화자료] / Jason Reitman 감독,고스트버스터즈 라이즈,No data,Reitman Jason;Grace Mckenna;Wolfhard Finn;Rudd Paul,소니픽쳐스 [공급],서울,ulk,moving image,4 3/4 in,41800.0,eng,"오락,스포츠"
NBC202232618,T16578663,시청각자료,고양이 [녹음자료]: 베르나르 베르베르 장편소설. 1/ 베르나르 베르베르 원작,고양이,베르나르 베르베르 장편소설,베르베르 베르나르,오디언소리 [공급],서울,ulk,spoken word,No data,50000.0,kor,프랑스문학
NBC202232618,T16578665,시청각자료,고양이 [녹음자료]: 베르나르 베르베르 장편소설. 2/ 베르나르 베르베르 원작,고양이,베르나르 베르베르 장편소설,베르베르 베르나르,오디언소리 [공급],서울,ulk,spoken word,No data,50000.0,kor,프랑스문학
NBC202232618,T16552234,시청각자료,"고양이에게 밥을 주지 마세요 [비디오녹화자료] = Don't feed the stray cats / 김희주, 정주희 감독",고양이에게 밥을 주지 마세요,No data,김희주 ;정희주 ;권나영,비디오여행 [제작] 목영이엔엠 [제공],서울,ulk,moving image,4 3/4 in,25300.0,kor,"농업,농학"
NBC202232618,KMU202202757,시청각자료,고영준의 인생이야기 [녹음자료] / 고영준,고영준의 인생이야기,No data,고영준(KAC201628126),RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232618,KMU202300168,시청각자료,고요 [녹음자료] / 루아멜,고요,No data,Luamel(KAB202012195),유니버설뮤직코리아 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232618,KMU202201650,시청각자료,고요한 물결들은 혹 [녹음자료] / 김치훈,고요한 물결들은 혹,No data,김치훈(KAC202228850),블렌딩 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232618,KMU202204974,시청각자료,고장난 내 방 [녹음자료] / Ronan,고장난 내 방,No data,로난(KAC202003286),루미넌트엔터테인먼트 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232619,T16550139,시청각자료,고품격 헛소리의 세계 [비디오녹화자료] /  이승용 강의 ; EBS [기획·제작],고품격 헛소리의 세계,No data,이승용;한국교육방송공사,EBS 미디어,서울  ,ulk,moving image,12 cm,25700.0,kor,경제학
NBC202232619,KMU202202271,시청각자료,고향의 그사람 [녹음자료] / 석현,고향의 그사람,No data,석현(KAC202251424),RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232619,KMU202204987,시청각자료,골고다 [녹음자료] / 조난영,골고다,No data,조난영(KAC2022E4687),RIAK [배포],[서울],ulk,performed music,12 cm,No data,zxx,음악
