국가서지번호,출처기관제어번호,자료유형,표제와 책임표시사항,제목,부제목,저자,발행처,발행지역,발행지코드,내용유형,크기,가격,본문언어,분야
NBC202229964,KMO202245844,공공간행물,예천 야옹정 : 실측·수리보고서 / 조사·편찬: 고경,예천 야옹정,실측·수리보고서,고경,예천군청,No data,gbk,text,31 cm,No data,kor,"건축,건축학"
NBC202234009,CNTS-00128561111,공공간행물,예천군의회 회의록 [전자자료] . 제252회(임시회) 본회의 / 예천군의회,예천군의회 회의록,No data,예천군의회,예천군의회,예천,gbk,text,No data,No data,kor,행정학
NBC202229964,KMO202239911,공공간행물,옛-편지 의로써 잃어버린 나라를 다시 찾다 : 2021년 분청문화박물관 기증 근대기록문화유산 특별 기획전시 / 원고: 양미소 ; 논고: 정재욱 ; 사진촬영: 한정엽,옛-편지 의로써 잃어버린 나라를 다시 찾다,2021년 분청문화박물관 기증 근대기록문화유산 특별 기획전시,양미소;정재욱;한정엽,고흥분청문화박물관,고흥,jnk,text,28 cm,No data,kor,예술
NBC202229964,KMO202308553,공공간행물,"오늘, 당신의 잡지 : 근현대잡지 특별전 / 국립중앙도서관, 한국잡지협회 [편]","오늘, 당신의 잡지",근현대잡지 특별전,국립중앙도서관(KAB201400144);한국잡지협회(KAB201800906),국립중앙도서관 한국잡지협회,서울,ulk,text,27 cm,No data,kor,"신문,저널리즘"
NBC202229964,KMO202248164,공공간행물,오늘의 청년과 함께 내일의 거제 만들기 : 거제시 청년친화도시조성사업 자료집 : 2020~2021 / 거제시 시정혁신담당관 [편],오늘의 청년과 함께 내일의 거제 만들기,거제시 청년친화도시조성사업 자료집 :2020~2021,거제시.시정혁신담당관,거제시 시정혁신담당관,No data,gnk,text,21 cm,No data,kor,"사회학,사회문제"
NBC202229964,KMO202317155,공공간행물,"오래된 지혜, 제주 물 이야기 / 글: 유영심 ; 그림: 권세혁","오래된 지혜, 제주 물 이야기",No data,유영심;권세혁,제주특별자치도 제주연구원 제주지하수연구센터,제주,jjk,text,27 cm,No data,kor,"공학,공업일반,토목공학,환경공학"
NBC202229964,KMO202239873,공공간행물,오로지 국민만 생각했던 시간 : 대한민국 제47대 국무총리 김부겸의 말과 생각 / 국무총리비서실 [편],오로지 국민만 생각했던 시간,대한민국 제47대 국무총리 김부겸의 말과 생각,국무총리비서실 (2013년3월- )(KAB201400021),국무총리비서실,No data,ulk,text,22 cm,No data,kor,행정학
NBC202229964,KMO202249514,공공간행물,"오리엔탈 백합 품종 개발 : golden seed 프로젝트 사업 2단계 최종보고서 / 프로젝트연구기관명: 강원도농업기술원 ; 세부프로젝트연구기관명: 농업회사법인 깨비농장 ; 참여기업명: 창빛, 강릉백합영농조합법인 ; 프로젝트연구책임자: 최옥 ; 세부프로젝트연구책임자: 조만익 ; 참여기관책임자: 김희석, 이명용",오리엔탈 백합 품종 개발,golden seed 프로젝트 사업 2단계 최종보고서,최옥;조만익;김희석;이명용;강원도농업기술원(KAB201600048);깨비농장;창빛;강릉백합영농조합법인,농림축산식품부,No data,sjk,text,30 cm,No data,kor,식물학
NBC202234009,CNTS-00128141515,공공간행물,"오리엔탈 백합 품종 개발 [전자자료] : Golden Seed 프로젝트 사업 2단계 최종보고서  / 강원도농업기술원, 제주특별자치도농업기술원, 농업기술실용화재단, 깨비농장, 창빛, 강릉백합영농조합법인, 최옥, 성문석, 이예지, 조만익, 김희석, 이명용",오리엔탈 백합 품종 개발,Golden Seed 프로젝트 사업 2단계 최종보고서 ,강원도농업기술원;제주특별자치도농업기술원;농업기술실용화재단;깨비농장;창빛;강릉백합영농조합법인;최옥;성문석;이예지;조만익;김희석;이명용,농림축산식품부,No data,sjk,text,No data,No data,kor,기타언어
NBC202229964,KMO202237714,공공간행물,오믹스 연구 기반 전통누룩 유래 양조 미생물 자원의 산업화 : 포스트게놈다부처유전체연구개발사업 2021년도 최종보고서 / 주관연구기관명: 한국식품연구원 ; 협동연구기관명: 국순당 ; 주관연구책임자: 김재호 ; 협동연구책임자: 신우창,오믹스 연구 기반 전통누룩 유래 양조 미생물 자원의 산업화,포스트게놈다부처유전체연구개발사업 2021년도 최종보고서,김재호(KAC201210554);신우창(KAC2018E7192);한국식품개발연구원(KAB201600068);국순당,농림축산식품부,No data,sjk,text,30 cm,No data,kor,화학공학
