출처기관제어번호,자료유형,제목,부제목,저자,발행처,발행지역,발행년,내용유형,크기,본문언어,가격,분야
KSE200802070,연속간행물,코칭연구,No data,한국코칭학회,한국코칭학회,춘천,2008-,text,26 cm,kor,No data,"사회학,사회문제"
KSE200802070,연속간행물,코칭연구,No data,한국코칭학회,한국코칭학회,춘천,2008-,text,26 cm,kor,No data,"사회학,사회문제"
KSE199502490,연속간행물,코헴,한국혈우재단 소식지,한국혈우재단,한국혈우재단,서울,-,text,26 cm,kor,No data,의학
KSE199502490,연속간행물,코헴,한국혈우재단 소식지,한국혈우재단,한국혈우재단,서울,-,text,26 cm,kor,No data,의학
KSE199502490,연속간행물,코헴,한국혈우재단 소식지,한국혈우재단,한국혈우재단,서울,-,text,26 cm,kor,No data,의학
KSE199502490,연속간행물,코헴,한국혈우재단 소식지,한국혈우재단,한국혈우재단,서울,-,text,26 cm,kor,No data,의학
KSE199502490,연속간행물,코헴,한국혈우재단 소식지,한국혈우재단,한국혈우재단,서울,-,text,26 cm,kor,No data,의학
KSE199502490,연속간행물,코헴,한국혈우재단 소식지,한국혈우재단,한국혈우재단,서울,-,text,26 cm,kor,No data,의학
KSE199901841,연속간행물,콘크리트학회 논문집,No data,한국콘크리트학회,한국콘크리트학회,서울,1999-,text,30 cm,kor,0.0,"공학,공업일반,토목공학,환경공학"
KSE199901841,연속간행물,콘크리트학회 논문집,No data,한국콘크리트학회,한국콘크리트학회,서울,1999-,text,30 cm,kor,0.0,"공학,공업일반,토목공학,환경공학"
KSE199901841,연속간행물,콘크리트학회 논문집,No data,한국콘크리트학회,한국콘크리트학회,서울,1999-,text,30 cm,kor,0.0,"공학,공업일반,토목공학,환경공학"
KSE199901841,연속간행물,콘크리트학회 논문집,No data,한국콘크리트학회,한국콘크리트학회,서울,1999-,text,30 cm,kor,0.0,"공학,공업일반,토목공학,환경공학"
KSE199901841,연속간행물,콘크리트학회 논문집,No data,한국콘크리트학회,한국콘크리트학회,서울,1999-,text,30 cm,kor,0.0,"공학,공업일반,토목공학,환경공학"
KSE199901841,연속간행물,콘크리트학회 논문집,No data,한국콘크리트학회,한국콘크리트학회,서울,1999-,text,30 cm,kor,0.0,"공학,공업일반,토목공학,환경공학"
KSE199509110,연속간행물,콘크리트학회지,No data,한국콘크리트학회,한국콘크리트학회,서울,1989-,text,30 cm,kor,No data,"공학,공업일반,토목공학,환경공학"
KSE199509110,연속간행물,콘크리트학회지,No data,한국콘크리트학회,한국콘크리트학회,서울,1989-,text,30 cm,kor,No data,"공학,공업일반,토목공학,환경공학"
